CHANNEL node 11 HYNNEKLEIV
N_CASCADE_LINRES 2
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 5 2 7.8400 0.11288353 7.8380 0.0000 
2022 9 5 3 7.8400 0.11288814 7.8387 0.0000 
2022 9 5 4 7.8400 0.11289106 7.8392 0.0000 
2022 9 5 5 7.8400 0.11289290 7.8395 0.0000 
2022 9 5 6 7.8400 0.11289405 7.8397 0.0000 
2022 9 5 7 7.8400 0.11289478 7.8398 0.0000 
2022 9 5 8 7.8400 0.11289524 7.8399 0.0000 
2022 9 5 9 7.8400 0.11289552 7.8399 0.0000 
2022 9 5 10 7.8400 0.11289570 7.8400 0.0000 
2022 9 5 11 7.8400 0.11289581 7.8400 0.0000 
2022 9 5 12 7.8400 0.11289589 7.8400 0.0000 
2022 9 5 13 7.8400 0.11289593 7.8400 0.0000 
2022 9 5 14 7.8400 0.11289596 7.8400 0.0000 
2022 9 5 15 7.8400 0.11289597 7.8400 0.0000 
2022 9 5 16 7.8400 0.11289598 7.8400 0.0000 
2022 9 5 17 7.8400 0.11289599 7.8400 0.0000 
2022 9 5 18 7.8400 0.11289599 7.8400 0.0000 
2022 9 5 19 7.8400 0.11289600 7.8400 0.0000 
2022 9 5 20 7.8400 0.11289600 7.8400 0.0000 
2022 9 5 21 7.8400 0.11289600 7.8400 0.0000 
2022 9 5 22 7.8400 0.11289600 7.8400 0.0000 
2022 9 5 23 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 1 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 2 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 3 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 4 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 5 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 6 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 7 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 8 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 9 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 10 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 11 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 12 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 13 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 14 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 15 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 16 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 17 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 18 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 19 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 20 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 21 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 22 7.8400 0.11289600 7.8400 0.0000 
2022 9 6 23 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 0 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 1 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 2 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 3 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 4 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 5 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 6 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 7 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 8 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 9 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 10 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 11 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 12 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 13 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 14 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 15 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 16 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 17 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 18 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 19 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 20 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 21 7.8400 0.11289600 7.8400 0.0000 
2022 9 7 22 7.8400 0.11289600 7.8400 0.0000 
