POWERSTATION node 1 SVOLETJONN
init_Power = 0.00000
penstock_config = SHARED
headloss_coef = 0.300000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [m3/s] [m3/s] [m] [m] [MWh] [GWh/Mm3] [Euro] [Euro] [Euro] [Euro] [Euro] [Euro]
yyyy mm dd hh Up_Inflow Price Action_g0 tot_outflow auto_qmin Hnetto Hbrutto Power est_eekv income tot_cost startstopCost adjust_cost cost_aggressive_actions profit
2026 5 8 11 0.0000 16.0000 0.0000 0.0000 0.0000 64.1845 64.1845 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 12 0.0000 12.0000 0.0000 0.0000 0.0000 64.1845 64.1845 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 13 0.0000 13.0000 0.0000 0.0000 0.0000 64.1845 64.1845 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 14 0.0000 12.0000 0.0000 0.0000 0.0000 64.1845 64.1845 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 15 0.0000 11.0000 0.0000 0.0000 0.0000 64.1845 64.1845 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 16 0.0000 8.0000 0.0000 0.0000 0.0000 64.1917 64.1917 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 17 0.0000 15.0000 0.0000 0.0000 0.0000 64.2132 64.2132 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 18 0.0000 12.0000 0.0000 0.0000 0.0000 64.2617 64.2617 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 19 0.0000 15.0000 0.0000 0.0000 0.0000 64.3012 64.3012 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 20 0.0000 13.0000 0.0000 0.0000 0.0000 64.3066 64.3066 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 21 0.0000 14.0000 0.0000 0.0000 0.0000 64.3066 64.3066 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 22 0.0000 17.0000 0.0000 0.0000 0.0000 64.3066 64.3066 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 23 0.0000 16.0000 0.0000 0.0000 0.0000 64.3066 64.3066 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
