POWERSTATION node 1 SVOLETJONN
init_Power = 0.00000
penstock_config = SHARED
headloss_coef = 0.300000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [m3/s] [m3/s] [Euro] [Euro] [m] [m] [MWh] [Euro] [Euro] [GWh/Mm3]
yyyy mm dd hh Up_Inflow Price Action_g0 tot_outflow auto_qmin income startstopCost Hnetto Hbrutto Power adjust_cost profit est_eekv
2022 9 2 16 3.2000 491.8000 0.8000 3.2000 0.0000 836.3679 0.0000 60.6993 63.7713 1.7006 0.0000 836.3679 0.1476
2022 9 2 17 3.2000 552.5100 0.8000 3.2000 0.0000 939.4456 0.0000 60.6885 63.7605 1.7003 0.0000 939.4456 0.1476
2022 9 2 18 3.2000 572.7500 0.8000 3.2000 0.0000 973.6866 0.0000 60.6777 63.7497 1.7000 0.0000 973.6866 0.1476
2022 9 2 19 3.2000 545.0200 0.8000 3.2000 0.0000 926.3800 0.0000 60.6669 63.7389 1.6997 0.0000 926.3800 0.1475
2022 9 2 20 3.2000 440.6200 0.8000 3.2000 0.0000 748.7960 0.0000 60.6561 63.7281 1.6994 0.0000 748.7960 0.1475
2022 9 2 21 3.2000 355.8800 0.8000 3.2000 0.0000 604.6799 0.0000 60.6453 63.7173 1.6991 0.0000 604.6799 0.1475
2022 9 2 22 3.2000 217.7900 0.8000 3.2000 0.0000 369.9834 0.0000 60.6345 63.7065 1.6988 0.0000 369.9834 0.1475
2022 9 2 23 3.2000 238.2100 0.8000 3.2000 0.0000 404.6008 0.0000 60.6236 63.6956 1.6985 0.0000 404.6008 0.1474
2022 9 3 0 3.2000 253.5000 0.8000 3.2000 0.0000 430.4941 0.0000 60.6128 63.6848 1.6982 0.0000 430.4941 0.1474
2022 9 3 1 3.2000 271.6000 0.8000 3.2000 0.0000 461.1490 0.0000 60.6020 63.6740 1.6979 0.0000 461.1490 0.1474
2022 9 3 2 3.2000 258.7100 0.8000 3.2000 0.0000 439.1844 0.0000 60.5911 63.6631 1.6976 0.0000 439.1844 0.1474
2022 9 3 3 3.2000 243.5100 0.8000 3.2000 0.0000 413.3071 0.0000 60.5803 63.6523 1.6973 0.0000 413.3071 0.1473
2022 9 3 4 3.2000 301.8400 0.8000 3.2000 0.0000 512.2186 0.0000 60.5695 63.6415 1.6970 0.0000 512.2186 0.1473
2022 9 3 5 3.2000 284.0000 0.8000 3.2000 0.0000 481.8582 0.0000 60.5586 63.6306 1.6967 0.0000 481.8582 0.1473
2022 9 3 6 3.2000 382.1900 0.8000 3.2000 0.0000 648.3395 0.0000 60.5478 63.6198 1.6964 0.0000 648.3395 0.1473
2022 9 3 7 3.2000 413.5400 0.8000 3.2000 0.0000 701.3953 0.0000 60.5369 63.6089 1.6961 0.0000 701.3953 0.1472
2022 9 3 8 3.2000 393.5100 0.8000 3.2000 0.0000 667.3033 0.0000 60.5261 63.5981 1.6958 0.0000 667.3033 0.1472
2022 9 3 9 3.2000 442.1400 0.8000 3.2000 0.0000 749.6343 0.0000 60.5152 63.5872 1.6955 0.0000 749.6343 0.1472
2022 9 3 10 3.2000 453.6600 0.8000 3.2000 0.0000 769.0282 0.0000 60.5044 63.5764 1.6952 0.0000 769.0282 0.1471
2022 9 3 11 3.2000 468.9000 0.8000 3.2000 0.0000 794.7197 0.0000 60.4935 63.5655 1.6949 0.0000 794.7197 0.1471
2022 9 3 12 3.2000 456.4300 0.8000 3.2000 0.0000 773.4456 0.0000 60.4826 63.5546 1.6946 0.0000 773.4456 0.1471
2022 9 3 13 3.2000 459.8200 0.8000 3.2000 0.0000 779.0500 0.0000 60.4718 63.5438 1.6942 0.0000 779.0500 0.1471
2022 9 3 14 3.2000 431.0300 0.8000 3.2000 0.0000 730.1408 0.0000 60.4609 63.5329 1.6939 0.0000 730.1408 0.1470
2022 9 3 15 3.2000 387.1700 0.8000 3.2000 0.0000 655.7260 0.0000 60.4499 63.5219 1.6936 0.0000 655.7260 0.1470
2022 9 3 16 3.2000 414.6800 0.8000 3.2000 0.0000 702.1910 0.0000 60.4390 63.5110 1.6933 0.0000 702.1910 0.1470
2022 9 3 17 3.2000 468.4800 0.8000 3.2000 0.0000 793.1490 0.0000 60.4281 63.5001 1.6930 0.0000 793.1490 0.1470
2022 9 3 18 3.2000 531.4800 0.8000 3.2000 0.0000 899.6469 0.0000 60.4172 63.4892 1.6927 0.0000 899.6469 0.1469
2022 9 3 19 3.2000 513.1200 0.8000 3.2000 0.0000 868.4116 0.0000 60.4062 63.4782 1.6924 0.0000 868.4116 0.1469
2022 9 3 20 3.2000 443.1200 0.8000 3.2000 0.0000 749.8072 0.0000 60.3953 63.4673 1.6921 0.0000 749.8072 0.1469
2022 9 3 21 3.2000 395.0200 0.8000 3.2000 0.0000 668.2963 0.0000 60.3845 63.4565 1.6918 0.0000 668.2963 0.1469
2022 9 3 22 3.2000 330.8700 0.8000 3.2000 0.0000 559.6664 0.0000 60.3736 63.4456 1.6915 0.0000 559.6664 0.1468
2022 9 3 23 3.2000 215.7900 0.8000 3.2000 0.0000 364.9430 0.0000 60.3627 63.4347 1.6912 0.0000 364.9430 0.1468
2022 9 4 0 3.2000 210.1400 0.8000 3.2000 0.0000 355.3242 0.0000 60.3519 63.4239 1.6909 0.0000 355.3242 0.1468
2022 9 4 1 3.2000 205.3000 0.8000 3.2000 0.0000 347.0784 0.0000 60.3412 63.4132 1.6906 0.0000 347.0784 0.1468
2022 9 4 2 3.2000 209.5200 0.8000 3.2000 0.0000 354.1497 0.0000 60.3304 63.4024 1.6903 0.0000 354.1497 0.1467
2022 9 4 3 3.2000 225.8600 0.8000 3.2000 0.0000 381.7011 0.0000 60.3197 63.3917 1.6900 0.0000 381.7011 0.1467
2022 9 4 4 3.2000 228.5700 0.8000 3.2000 0.0000 386.2122 0.0000 60.3090 63.3810 1.6897 0.0000 386.2122 0.1467
2022 9 4 5 3.2000 216.1600 0.8000 3.2000 0.0000 365.1781 0.0000 60.2982 63.3702 1.6894 0.0000 365.1781 0.1466
2022 9 4 6 3.2000 231.8500 0.8000 3.2000 0.0000 391.6149 0.0000 60.2875 63.3595 1.6891 0.0000 391.6149 0.1466
2022 9 4 7 3.2000 215.0200 0.8000 3.2000 0.0000 363.1229 0.0000 60.2768 63.3488 1.6888 0.0000 363.1229 0.1466
2022 9 4 8 3.2000 188.9800 0.8000 3.2000 0.0000 319.0900 0.0000 60.2660 63.3380 1.6885 0.0000 319.0900 0.1466
2022 9 4 9 3.2000 298.2800 0.8000 3.2000 0.0000 503.5518 0.0000 60.2553 63.3273 1.6882 0.0000 503.5518 0.1465
2022 9 4 10 3.2000 200.4200 0.8000 3.2000 0.0000 338.2857 0.0000 60.2446 63.3166 1.6879 0.0000 338.2857 0.1465
2022 9 4 11 3.2000 248.6000 0.8000 3.2000 0.0000 419.5332 0.0000 60.2338 63.3058 1.6876 0.0000 419.5332 0.1465
2022 9 4 12 3.2000 404.7600 0.8000 3.2000 0.0000 682.9445 0.0000 60.2231 63.2951 1.6873 0.0000 682.9445 0.1465
2022 9 4 13 3.2000 404.3900 0.8000 3.2000 0.0000 682.1985 0.0000 60.2123 63.2843 1.6870 0.0000 682.1985 0.1464
2022 9 4 14 3.2000 364.4300 0.8000 3.2000 0.0000 614.6771 0.0000 60.2016 63.2736 1.6867 0.0000 614.6771 0.1464
2022 9 4 15 3.2000 248.5300 0.8000 3.2000 0.0000 419.1160 0.0000 60.1909 63.2629 1.6864 0.0000 419.1160 0.1464
2022 9 4 16 3.2000 410.2000 0.8000 3.2000 0.0000 691.6297 0.0000 60.1801 63.2521 1.6861 0.0000 691.6297 0.1464
2022 9 4 17 3.2000 442.0700 0.8000 3.2000 0.0000 745.2323 0.0000 60.1694 63.2414 1.6858 0.0000 745.2323 0.1463
2022 9 4 18 3.2000 501.0600 0.8000 3.2000 0.0000 844.5262 0.0000 60.1587 63.2307 1.6855 0.0000 844.5262 0.1463
2022 9 4 19 3.2000 500.6000 0.8000 3.2000 0.0000 843.6009 0.0000 60.1480 63.2200 1.6852 0.0000 843.6009 0.1463
2022 9 4 20 3.2000 449.0300 0.8000 3.2000 0.0000 756.5616 0.0000 60.1373 63.2093 1.6849 0.0000 756.5616 0.1463
2022 9 4 21 3.2000 418.8500 0.8000 3.2000 0.0000 705.5866 0.0000 60.1266 63.1986 1.6846 0.0000 705.5866 0.1462
2022 9 4 22 3.2000 344.0800 0.8000 3.2000 0.0000 579.5277 0.0000 60.1160 63.1880 1.6843 0.0000 579.5277 0.1462
2022 9 4 23 3.2000 275.7500 0.8000 3.2000 0.0000 464.3583 0.0000 60.1053 63.1773 1.6840 0.0000 464.3583 0.1462
2022 9 5 0 3.2000 225.3100 0.8000 3.2000 0.0000 379.3509 0.0000 60.0947 63.1667 1.6837 0.0000 379.3509 0.1462
2022 9 5 1 3.2000 217.5800 0.8000 3.2000 0.0000 366.2711 0.0000 60.0840 63.1560 1.6834 0.0000 366.2711 0.1461
2022 9 5 2 3.2000 228.2200 0.8000 3.2000 0.0000 384.1141 0.0000 60.0733 63.1453 1.6831 0.0000 384.1141 0.1461
2022 9 5 3 3.2000 245.1000 0.8000 3.2000 0.0000 412.4515 0.0000 60.0627 63.1347 1.6828 0.0000 412.4515 0.1461
2022 9 5 4 3.2000 376.3900 0.8000 3.2000 0.0000 633.2729 0.0000 60.0521 63.1241 1.6825 0.0000 633.2729 0.1460
2022 9 5 5 3.2000 457.3400 0.8000 3.2000 0.0000 769.3344 0.0000 60.0414 63.1134 1.6822 0.0000 769.3344 0.1460
2022 9 5 6 3.2000 503.6800 0.8000 3.2000 0.0000 847.1375 0.0000 60.0308 63.1028 1.6819 0.0000 847.1375 0.1460
2022 9 5 7 3.2000 517.0400 0.8000 3.2000 0.0000 869.4543 0.0000 60.0202 63.0922 1.6816 0.0000 869.4543 0.1460
2022 9 5 8 3.2000 476.2600 0.8000 3.2000 0.0000 800.7377 0.0000 60.0097 63.0817 1.6813 0.0000 800.7377 0.1459
2022 9 5 9 3.2000 429.2600 0.8000 3.2000 0.0000 721.5898 0.0000 59.9991 63.0711 1.6810 0.0000 721.5898 0.1459
2022 9 5 10 3.2000 385.8200 0.8000 3.2000 0.0000 648.4531 0.0000 59.9886 63.0606 1.6807 0.0000 648.4531 0.1459
2022 9 5 11 3.2000 402.6600 0.8000 3.2000 0.0000 676.6377 0.0000 59.9781 63.0501 1.6804 0.0000 676.6377 0.1459
2022 9 5 12 3.2000 398.7600 0.8000 3.2000 0.0000 669.9667 0.0000 59.9676 63.0396 1.6801 0.0000 669.9667 0.1458
2022 9 5 13 3.2000 291.4200 0.8000 3.2000 0.0000 489.5364 0.0000 59.9571 63.0291 1.6798 0.0000 489.5364 0.1458
2022 9 5 14 3.2000 402.6800 0.8000 3.2000 0.0000 676.3161 0.0000 59.9466 63.0186 1.6795 0.0000 676.3161 0.1458
2022 9 5 15 3.2000 401.9700 0.8000 3.2000 0.0000 675.0059 0.0000 59.9362 63.0082 1.6792 0.0000 675.0059 0.1458
2022 9 5 16 3.2000 484.3400 0.8000 3.2000 0.0000 813.1837 0.0000 59.9257 62.9977 1.6790 0.0000 813.1837 0.1457
2022 9 5 17 3.2000 546.8400 0.8000 3.2000 0.0000 917.9583 0.0000 59.9153 62.9873 1.6787 0.0000 917.9583 0.1457
2022 9 5 18 3.2000 579.7300 0.8000 3.2000 0.0000 972.9998 0.0000 59.9049 62.9769 1.6784 0.0000 972.9998 0.1457
2022 9 5 19 3.2000 504.0000 0.8000 3.2000 0.0000 845.7497 0.0000 59.8944 62.9664 1.6781 0.0000 845.7497 0.1457
2022 9 5 20 3.2000 417.8100 0.8000 3.2000 0.0000 700.9942 0.0000 59.8840 62.9560 1.6778 0.0000 700.9942 0.1456
2022 9 5 21 3.2000 329.4400 0.8000 3.2000 0.0000 552.6323 0.0000 59.8736 62.9456 1.6775 0.0000 552.6323 0.1456
2022 9 5 22 3.2000 230.8900 0.8000 3.2000 0.0000 387.2482 0.0000 59.8631 62.9351 1.6772 0.0000 387.2482 0.1456
2022 9 5 23 3.2000 279.5100 0.8000 3.2000 0.0000 468.7122 0.0000 59.8527 62.9247 1.6769 0.0000 468.7122 0.1456
2022 9 6 0 3.2000 305.4700 0.8000 3.2000 0.0000 512.1556 0.0000 59.8423 62.9143 1.6766 0.0000 512.1556 0.1455
2022 9 6 1 3.2000 282.3100 0.8000 3.2000 0.0000 473.2430 0.0000 59.8319 62.9039 1.6763 0.0000 473.2430 0.1455
2022 9 6 2 3.2000 289.6700 0.8000 3.2000 0.0000 485.4965 0.0000 59.8216 62.8936 1.6760 0.0000 485.4965 0.1455
2022 9 6 3 3.2000 293.6400 0.8000 3.2000 0.0000 492.0651 0.0000 59.8112 62.8832 1.6757 0.0000 492.0651 0.1455
2022 9 6 4 3.2000 393.0700 0.8000 3.2000 0.0000 658.5702 0.0000 59.8008 62.8728 1.6755 0.0000 658.5702 0.1454
2022 9 6 5 3.2000 462.0400 0.8000 3.2000 0.0000 773.9925 0.0000 59.7905 62.8625 1.6752 0.0000 773.9925 0.1454
2022 9 6 6 3.2000 521.0100 0.8000 3.2000 0.0000 872.6262 0.0000 59.7802 62.8522 1.6749 0.0000 872.6262 0.1454
2022 9 6 7 3.2000 540.1400 0.8000 3.2000 0.0000 904.5105 0.0000 59.7699 62.8419 1.6746 0.0000 904.5105 0.1454
2022 9 6 8 3.2000 474.4700 0.8000 3.2000 0.0000 794.4037 0.0000 59.7596 62.8316 1.6743 0.0000 794.4037 0.1453
2022 9 6 9 3.2000 441.4400 0.8000 3.2000 0.0000 738.9747 0.0000 59.7493 62.8213 1.6740 0.0000 738.9747 0.1453
2022 9 6 10 3.2000 311.8200 0.8000 3.2000 0.0000 521.9002 0.0000 59.7391 62.8111 1.6737 0.0000 521.9002 0.1453
