Riversystem uTAHPS reservoir fractions [fr] 
YYYY MM DD HH HJELLE GRESSE TOPPSY KROKNESVATN 
2022 10 27 0 0.7125 0.5914 0.9439 0.8179 
2022 10 28 0 0.7294 0.5885 0.9449 0.8207 
2022 10 29 0 0.7557 0.5862 0.9461 0.8237 
2022 10 30 0 0.7770 0.5836 0.9471 0.8264 
2022 10 31 0 0.7786 0.5795 0.9475 0.8289 
2022 11 1 0 0.7803 0.5755 0.9481 0.8315 
2022 11 2 0 0.8017 0.5733 0.9497 0.8357 
2022 11 3 0 0.8746 0.5755 0.9540 0.8431 
2022 11 4 0 0.9392 0.5778 0.9590 0.8524 
2022 11 5 0 0.9868 0.5788 0.9635 0.8614 
2022 11 6 0 1.0116 0.5778 0.9667 0.8684 
2022 11 7 0 1.0446 0.5786 0.9718 0.8778 
2022 11 8 0 1.0634 0.5783 0.9765 0.8860 
2022 11 9 0 1.0875 0.5791 0.9825 0.8957 
2022 11 10 0 1.0937 0.5782 0.9872 0.9033 
2022 11 11 0 1.0898 0.5762 0.9911 0.9096 
2022 11 12 0 1.0797 0.5733 0.9941 0.9148 
2022 11 13 0 1.0670 0.5698 0.9965 0.9191 
2022 11 14 0 1.0558 0.5660 0.9983 0.9228 
2022 11 15 0 1.0569 0.5630 1.0003 0.9262 
2022 11 16 0 1.0760 0.5615 1.0029 0.9298 
2022 11 17 0 1.1414 0.5640 1.0073 0.9332 
2022 11 18 0 1.1423 0.5620 1.0102 0.9363 
2022 11 19 0 1.1222 0.5582 1.0121 0.9391 
2022 11 20 0 1.1077 0.5545 1.0137 0.9417 
2022 11 21 0 1.0856 0.5499 1.0145 0.9441 
2022 11 22 0 1.0637 0.5450 1.0149 0.9464 
2022 11 23 0 1.0499 0.5404 1.0151 0.9487 
2022 11 24 0 1.0394 0.5361 1.0154 0.9515 
2022 11 25 0 1.0397 0.5331 1.0168 0.9563 
2022 11 26 0 1.0541 0.5316 1.0193 0.9625 
2022 11 27 0 1.0718 0.5307 1.0220 0.9689 
2022 11 28 0 1.0962 0.5315 1.0268 0.9786 
2022 11 29 0 1.0962 0.5298 1.0296 0.9857 
2022 11 30 0 1.0829 0.5266 1.0311 0.9910 
2022 12 1 0 1.0653 0.5224 1.0316 0.9953 
2022 12 2 0 1.0473 0.5179 1.0315 0.9991 
2022 12 3 0 1.0294 0.5130 1.0310 1.0025 
2022 12 4 0 1.0134 0.5079 1.0301 1.0056 
2022 12 5 0 0.9990 0.5027 1.0289 1.0085 
2022 12 6 0 0.9845 0.4975 1.0278 1.0112 
