CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 12 9 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 10 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 11 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 12 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 13 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 14 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 15 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 16 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 17 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 18 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 19 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 20 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 21 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 22 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 23 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 24 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 25 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 26 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 27 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 28 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 29 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 30 0 3.2000 0.04608000 3.2000 0.0000 
2022 12 31 0 3.2000 0.04608000 3.2000 0.0000 
2023 1 1 0 3.2000 0.04608000 3.2000 0.0000 
2023 1 2 0 3.2000 0.04608000 3.2000 0.0000 
2023 1 3 0 3.2000 0.04608000 3.2000 0.0000 
2023 1 4 0 3.2000 0.04608000 3.2000 0.0000 
2023 1 5 0 3.2000 0.04608000 3.2000 0.0000 
2023 1 6 0 3.2000 0.04608000 3.2000 0.0000 
2023 1 7 0 0.0000 0.00251259 0.5043 0.0000 
2023 1 8 0 0.0000 0.00004741 0.0285 0.0000 
2023 1 9 0 0.0000 0.00000000 0.0005 0.0000 
2023 1 10 0 0.0000 0.00000000 0.0000 0.0000 
2023 1 11 0 0.0000 0.00000000 0.0000 0.0000 
2023 1 12 0 0.0000 0.00000000 0.0000 0.0000 
2023 1 13 0 0.0000 0.00000000 0.0000 0.0000 
